After iteration 0:
Gaussian 7: mean = 4992.4737, variance = 8126388.9770, prior = 0.1109
Gaussian 8: mean = 5195.6824, variance = 8113786.5099, prior = 0.1103
Gaussian 9: mean = 5060.6589, variance = 8131360.5797, prior = 0.1110

After iteration 39:
Gaussian 1: mean = 4930.8830, variance = 8113507.0477, prior = 0.1119
Gaussian 2: mean = 4135.1630, variance = 7300866.5552, prior = 0.1118
Gaussian 3: mean = 5410.7658, variance = 8010823.8768, prior = 0.1112
Gaussian 4: mean = 4601.4255, variance = 7919879.4876, prior = 0.1108
Gaussian 5: mean = 5325.4590, variance = 8062369.1388, prior = 0.1113
Gaussian 6: mean = 4882.8210, variance = 8098522.9147, prior = 0.1108
